E_ID,SM_ID,PRESSURE_TO_PRESENT,NEW_INTERACTIONS,GROWTH_DEVELOPMENT,TRENDS
E1,SM1,I'm not sure/I haven't thought about it.,Rarely or never,2,"No, I don't feel pressured to keep up with trends on social media."
E2,SM2,"No, I feel comfortable being authentic and genuine on social media.",A few times a month,6,"No, I don't feel pressured to keep up with trends on social media."
E3,SM3,I'm not sure/I haven't thought about it.,Rarely or never,6,"No, I don't feel pressured to keep up with trends on social media."
E4,SM4,I'm not sure/I haven't thought about it.,Rarely or never,8,"No, I don't feel pressured to keep up with trends on social media."
E5,SM5,"Sometimes, depending on the context or audience.",A few times a week,6,"Yes, I feel significant pressure to stay updated with the latest trends."
E6,SM6,I'm not sure/I haven't thought about it.,Rarely or never,6,"No, I don't feel pressured to keep up with trends on social media."
E7,SM7,"Sometimes, depending on the context or audience.",Rarely or never,5,"No, I don't feel pressured to keep up with trends on social media."
E8,SM8,"Sometimes, depending on the context or audience.",Rarely or never,5,"No, I don't feel pressured to keep up with trends on social media."
E9,SM9,I'm not sure/I haven't thought about it.,Once a week,4,Not sure/I haven't thought about it/I don't know.
E10,SM10,I'm not sure/I haven't thought about it.,Rarely or never,6,"No, I don't feel pressured to keep up with trends on social media."
E11,SM11,"No, I feel comfortable being authentic and genuine on social media.",Multiple times a day,5,"No, I don't feel pressured to keep up with trends on social media."
E12,SM12,"Sometimes, depending on the context or audience.",Rarely or never,10,"No, I don't feel pressured to keep up with trends on social media."
E13,SM13,"Yes, I feel pressured to present a curated or idealized version of myself.",Once a day,4,"Yes, I feel significant pressure to stay updated with the latest trends."
E14,SM14,I'm not sure/I haven't thought about it.,Rarely or never,8,Not sure/I haven't thought about it/I don't know.
E15,SM15,"Sometimes, depending on the context or audience.",Multiple times a day,8,"No, I don't feel pressured to keep up with trends on social media."
E16,SM16,"Yes, I feel pressured to present a curated or idealized version of myself.",A few times a week,5,"Yes, I feel significant pressure to stay updated with the latest trends."
