E_ID,SM_ID,PRIMARY_USE,IMPORTANCE,STRESS,CONTROLLING ABILITY,ADDICTION_SCORE,SLEEP_AFFECT
E1,SM1,Messaging or chatting with others,2,"No, never",9,"No, not at all",0
E2,SM2,"Keeping up with news and current events, Discovering new content or entertainment",7,"No, not usually",8,"No, not at all",5
E3,SM3,"Staying connected with friends and family, Keeping up with news and current events, Networking with professionals or colleagues",7,"No, not usually",9,"Yes, to some extent",1
E4,SM4,"Staying connected with friends and family, Keeping up with news and current events, Networking with professionals or colleagues, Discovering new content or entertainment",7,"No, not usually",7,"Yes, definitely",6
E5,SM5,"Staying connected with friends and family, Sharing photos or videos, Messaging or chatting with others",5,"Yes, occasionally",5,"Yes, definitely",10
E6,SM6,"Staying connected with friends and family, Messaging or chatting with others",8,"No, never",6,"Yes, to some extent",10
E7,SM7,Messaging or chatting with others,5,"No, not usually",8,"Yes, to some extent",7
E8,SM8,"Staying connected with friends and family, Sharing photos or videos, Messaging or chatting with others",8,"No, not usually",10,"No, not at all",2
E9,SM9,"Keeping up with news and current events, Networking with professionals or colleagues, Discovering new content or entertainment",6,"No, never",8,"No, not at all",3
E10,SM10,"Staying connected with friends and family, Keeping up with news and current events, Networking with professionals or colleagues, Messaging or chatting with others, Discovering new content or entertainment",7,"No, not usually",8,"No, not at all",2
E11,SM11,"Staying connected with friends and family, Sharing photos or videos, Keeping up with news and current events, Networking with professionals or colleagues, Messaging or chatting with others, Discovering new content or entertainment",6,"No, never",8,"No, not at all",2
E12,SM12,"Staying connected with friends and family, Sharing photos or videos, Messaging or chatting with others",10,"Yes, occasionally",10,"No, not at all",0
E13,SM13,"Staying connected with friends and family, Sharing photos or videos, Keeping up with news and current events, Networking with professionals or colleagues, Messaging or chatting with others, Discovering new content or entertainment",4,"Yes, frequently",3,"Yes, to some extent",2
E14,SM14,"Staying connected with friends and family, Sharing photos or videos, Messaging or chatting with others, Discovering new content or entertainment",5,"Yes, occasionally",5,"Yes, to some extent",5
E15,SM15,"Staying connected with friends and family, Sharing photos or videos, Keeping up with news and current events",10,"Yes, occasionally",2,"Yes, definitely",5
E16,SM16,"Staying connected with friends and family, Keeping up with news and current events, Messaging or chatting with others",10,"Yes, occasionally",5,"Yes, definitely",2
E17,SM17,"Staying connected with friends and family, Sharing photos or videos, Keeping up with news and current events, Discovering new content or entertainment",6,"No, not usually",5,"Yes, to some extent",6
E18,SM18,"Staying connected with friends and family, Sharing photos or videos, Keeping up with news and current events, Messaging or chatting with others, Discovering new content or entertainment",9,"No, not usually",5,"Yes, to some extent",8
E19,SM19,"Staying connected with friends and family, Messaging or chatting with others",8,"No, never",9,"No, not at all",6
E20,SM20,"Staying connected with friends and family, Keeping up with news and current events, Networking with professionals or colleagues, Messaging or chatting with others, Discovering new content or entertainment",5,"No, not usually",10,"Yes, to some extent",1
E21,SM21,"Staying connected with friends and family, Messaging or chatting with others",7,"No, not usually",4,"Yes, to some extent",7
E22,SM22,Staying connected with friends and family,1,"Yes, frequently",8,"No, not at all",5
E23,SM23,"Staying connected with friends and family, Sharing photos or videos, Keeping up with news and current events, Messaging or chatting with others, Discovering new content or entertainment",3,"No, not usually",6,"Yes, to some extent",4
E24,SM24,"Staying connected with friends and family, Sharing photos or videos, Keeping up with news and current events, Messaging or chatting with others, Discovering new content or entertainment",10,"No, not usually",8,"Yes, to some extent",6
E25,SM25,Keeping up with news and current events,9,"Yes, occasionally",5,"Yes, to some extent",8
E26,SM26,Discovering new content or entertainment,1,"No, never",1,"No, not at all",0
E27,SM27,"Staying connected with friends and family, Keeping up with news and current events",4,"No, never",10,"No, not at all",6
E28,SM28,"Staying connected with friends and family, Sharing photos or videos, Keeping up with news and current events, Messaging or chatting with others",8,"No, never",8,"Yes, to some extent",9
E29,SM29,Discovering new content or entertainment,3,"No, not usually",10,"No, not at all",0
E30,SM30,"Staying connected with friends and family, Networking with professionals or colleagues, Messaging or chatting with others",8,"Yes, occasionally",5,"Yes, to some extent",4
E31,SM31,Discovering new content or entertainment,7,"Yes, occasionally",3,"Yes, to some extent",9
E32,SM32,"Staying connected with friends and family, Keeping up with news and current events, Discovering new content or entertainment",7,"No, not usually",5,"Yes, to some extent",5
E33,SM33,"Staying connected with friends and family, Keeping up with news and current events, Messaging or chatting with others, Discovering new content or entertainment",8,"No, not usually",8,"Yes, to some extent",9
E34,SM34,Staying connected with friends and family,4,"No, not usually",8,"Yes, definitely",7
E35,SM35,"Keeping up with news and current events, Networking with professionals or colleagues, Messaging or chatting with others, Discovering new content or entertainment",1,"No, not usually",10,"No, not at all",2
E36,SM36,Staying connected with friends and family,9,"Yes, frequently",10,"Yes, definitely",10
